relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation_2,orientation_3,orientation_4,orientation_5,glazing_area_modified,glazing_dist_1,glazing_dist_2,glazing_dist_3,glazing_dist_4,glazing_dist_5,glazing_dist_6,heating_load
0.76,661.5,416.5,122.5,7,0,0,0,1,1,1,0,0,0,0,0,23.93
0.69,735,294,220.5,3.5,0,1,0,0,1.4,0,0,0,0,0,1,14.28
0.9,563.5,318.5,122.5,7,0,0,0,1,1.1,0,1,0,0,0,0,28.09
0.79,637,343,147,7,0,0,0,1,1.4,0,0,1,0,0,0,41.92
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.25,0,0,1,0,0,0,12.29
0.74,686,245,220.5,3.5,0,0,0,1,1.25,0,1,0,0,0,0,12.45
0.64,784,343,220.5,3.5,1,0,0,0,1.4,0,0,0,1,0,0,18.48
0.71,710.5,269.5,220.5,3.5,0,0,1,0,1.25,0,0,0,0,0,1,12.25
0.98,514.5,294,110.25,7,0,0,1,0,1.4,0,1,0,0,0,0,32.49
0.79,637,343,147,7,1,0,0,0,1.4,0,0,0,0,1,0,42.77
0.82,612.5,318.5,147,7,0,0,0,1,1.1,0,0,1,0,0,0,22.79
0.64,784,343,220.5,3.5,1,0,0,0,1.25,0,0,0,0,1,0,16.99
0.9,563.5,318.5,122.5,7,0,0,1,0,1.25,0,0,0,1,0,0,32.68
0.74,686,245,220.5,3.5,0,0,1,0,1.1,0,0,0,1,0,0,10.35
0.82,612.5,318.5,147,7,0,0,1,0,1.4,0,0,0,0,1,0,28.64
0.62,808.5,367.5,220.5,3.5,0,1,0,0,1,1,0,0,0,0,0,8.49
0.69,735,294,220.5,3.5,0,0,0,1,1.4,0,0,0,0,0,1,14.21
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.1,0,0,1,0,0,0,13.04
0.64,784,343,220.5,3.5,1,0,0,0,1.1,0,0,0,1,0,0,15.16
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.1,0,0,0,1,0,0,10.68
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.25,0,0,0,0,0,1,13.86
0.79,637,343,147,7,0,0,1,0,1,1,0,0,0,0,0,29.63
0.82,612.5,318.5,147,7,0,1,0,0,1.4,0,0,1,0,0,0,29.49
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.1,0,0,0,0,0,1,11.34
0.64,784,343,220.5,3.5,0,1,0,0,1.25,0,0,0,0,1,0,16.69
0.74,686,245,220.5,3.5,0,0,1,0,1.4,0,1,0,0,0,0,14.5
0.79,637,343,147,7,0,1,0,0,1.4,0,0,0,1,0,0,41.3
0.74,686,245,220.5,3.5,0,1,0,0,1.1,0,0,1,0,0,0,10.46
0.69,735,294,220.5,3.5,0,0,1,0,1.25,0,0,0,1,0,0,12.31
0.98,514.5,294,110.25,7,0,0,1,0,1.4,0,0,1,0,0,0,32.24
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.4,0,1,0,0,0,0,14.51
0.9,563.5,318.5,122.5,7,0,0,0,1,1.25,0,0,0,1,0,0,32.29
0.82,612.5,318.5,147,7,0,1,0,0,1.25,0,0,1,0,0,0,25.98
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.1,0,0,0,0,1,0,11.43
0.82,612.5,318.5,147,7,0,0,0,1,1.1,0,0,0,0,1,0,24.24
0.69,735,294,220.5,3.5,0,0,1,0,1.4,0,0,1,0,0,0,14.33
0.66,759.5,318.5,220.5,3.5,0,0,0,1,1.25,0,0,0,1,0,0,12.84
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.1,0,0,0,0,1,0,10.66
0.71,710.5,269.5,220.5,3.5,0,1,0,0,1.25,0,0,0,0,0,1,12.19
0.62,808.5,367.5,220.5,3.5,1,0,0,0,1.1,0,0,0,0,1,0,12.85
0.62,808.5,367.5,220.5,3.5,0,0,1,0,1.1,0,1,0,0,0,0,12.93
0.69,735,294,220.5,3.5,0,0,0,1,1.25,0,0,0,1,0,0,12.12
0.74,686,245,220.5,3.5,0,0,1,0,1.4,0,0,0,0,0,1,14.17
0.82,612.5,318.5,147,7,0,0,1,0,1.1,0,0,0,0,0,1,22.89
0.66,759.5,318.5,220.5,3.5,0,0,1,0,1.1,0,0,1,0,0,0,11.33
0.71,710.5,269.5,220.5,3.5,0,0,0,1,1.1,0,0,0,1,0,0,10.7
0.79,637,343,147,7,0,0,1,0,1.1,0,0,0,1,0,0,36.97
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.1,0,0,0,1,0,0,12.73
0.66,759.5,318.5,220.5,3.5,0,1,0,0,1.4,0,1,0,0,0,0,15.23
0.98,514.5,294,110.25,7,0,0,1,0,1.25,0,0,1,0,0,0,28.18
0.64,784,343,220.5,3.5,0,0,0,1,1.4,0,0,0,1,0,0,18.46
0.76,661.5,416.5,122.5,7,1,0,0,0,1.25,0,0,0,0,1,0,36.95
0.98,514.5,294,110.25,7,0,1,0,0,1.4,0,0,0,1,0,0,32.69
0.62,808.5,367.5,220.5,3.5,0,0,0,1,1.4,0,0,1,0,0,0,17.15
0.86,588,294,147,7,0,0,0,1,1.4,0,0,0,0,1,0,32.75
0.76,661.5,416.5,122.5,7,1,0,0,0,1.1,0,0,0,0,1,0,33.08
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1.25,0,0,0,1,0,0,12.41
0.98,514.5,294,110.25,7,0,1,0,0,1.1,0,0,1,0,0,0,24.31
0.9,563.5,318.5,122.5,7,0,0,0,1,1,1,0,0,0,0,0,19.68
0.66,759.5,318.5,220.5,3.5,1,0,0,0,1.25,0,0,1,0,0,0,13.05
0.86,588,294,147,7,1,0,0,0,1.1,0,0,0,1,0,0,25.41
0.71,710.5,269.5,220.5,3.5,1,0,0,0,1,1,0,0,0,0,0,6.37
0.79,637,343,147,7,1,0,0,0,1.1,0,0,0,0,1,0,36.86
